fightId,date,location,weightClass,decisionMethod,fightLastRound,fightTime,fightTimeFormat,fightDetails,f1Name,f1Id,f1Result,f1ResultEncode,f1Knockdown,f1SigStrikesLandedTotal,f1SigStrikesAttTotal,f1SigStrikesPercentTotal,f1StrikesLandedTotal,f1StrikesAttTotal,f1TakedownLanded,f1TakedownAtt,f1TakedownPercent,f1SubmissionAtt,f1Rev,f1TimeControl,f1SigStrikesLanded,f1SigStrikesAtt,f1SigStrikesPercent,f1HeadSigStrikesLanded,f1HeadSigStrikesAtt,f1BodySigStrikesLanded,f1BodySigStrikesAtt,f1LegSigStrikesLanded,f1LegSigStrikesAtt,f1DistanceSigStrikesLanded,f1DistanceSigStrikesAtt,f1ClinchSigStrikesLanded,f1ClinchSigStrikesAtt,f1GroundSigStrikesLanded,f1GroundSigStrikesAtt,f2Name,f2Id,f2Result,f2ResultEncode,f2Knockdown,f2SigStrikesLandedTotal,f2SigStrikesAttTotal,f2SigStrikesPercentTotal,f2StrikesLandedTotal,f2StrikesAttTotal,f2TakedownLanded,f2TakedownAtt,f2TakedownPercent,f2SubmissionAtt,f2Rev,f2TimeControl,f2SigStrikesLanded,f2SigStrikesAtt,f2SigStrikesPercent,f2HeadSigStrikesLanded,f2HeadSigStrikesAtt,f2BodySigStrikesLanded,f2BodySigStrikesAtt,f2LegSigStrikesLanded,f2LegSigStrikesAtt,f2DistanceSigStrikesLanded,f2DistanceSigStrikesAtt,f2ClinchSigStrikesLanded,f2ClinchSigStrikesAtt,f2GroundSigStrikesLanded,f2GroundSigStrikesAtt
4acab67848e78327,"September 09, 1994","Charlotte, North Carolina, USA",Open Weight Bout, Submission ,1,0:20,No Time Limit,Guillotine Choke From Mount,Scott Morris,be9d259be012e8a4,W,1,0,1,1,100%,2,2,1,1,100%,1,0,None,1,1,100%,1,1,0,0,0,0,0,0,1,1,0,0,Sean Daugherty,a683f9ddb70aa4bd,L,0,0,0,4,0%,1,5,0,0,None,0,0,None,0,4,0%,0,2,0,0,0,2,0,3,0,1,0,0
23c7c6ceee34585f,"September 09, 1994","Charlotte, North Carolina, USA",Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Yancy Medeiros,813550bc53b15fb0,L,0,0,103,219,47%,109,227,2,2,100%,2,0,219,103,219,47%,68,170,28,42,7,7,84,198,12,13,7,8,Damir Hadzovic,38c626ca912c7bac,W,1,0,121,237,51%,125,241,2,3,66%,0,1,114,121,237,51%,101,215,10,12,10,10,107,214,14,23,0,0
ac0a1d87e9ff4085,"September 09, 1994","Charlotte, North Carolina, USA",Flyweight Bout, Submission ,1,2:02,3 Rnd (5-5-5),Guillotine Choke In Clinch,Zhalgas Zhumagulov,55fa6ce3e522c8bb,W,1,0,10,24,41%,10,24,0,0,None,1,0,12,10,24,41%,4,15,4,6,2,3,10,24,0,0,0,0,Jerome Rivera,c9587d81e1d33925,L,0,0,11,40,27%,11,40,0,1,0%,0,0,00,11,40,27%,2,27,7,10,2,3,11,40,0,0,0,0
7d0874323bd1f768,"September 09, 1994","Charlotte, North Carolina, USA",None, KO/TKO ,2,1:29,3 Rnd (5-5-5),Punches to Head In Clinch,Alan Baudot,c9a94278df042f46,L,0,0,60,91,65%,73,104,0,0,None,0,0,38,60,91,65%,45,73,10,13,5,5,36,64,19,20,5,7,Rodrigo Nascimento,d31a5546c0e9b213,W,1,0,49,83,59%,51,85,0,3,0%,0,0,159,49,83,59%,41,75,6,6,2,2,45,75,4,8,0,0
40ce202eaa78860c,"September 09, 1994","Charlotte, North Carolina, USA",Women's Strawweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Diana Belbita,d7e40dca3ae125be,W,1,1,117,211,55%,126,222,0,0,None,0,0,06,117,211,55%,68,152,22,29,27,30,101,185,14,22,2,4,Hannah Goldy,26e3f3928b1891d9,L,0,0,92,182,50%,107,198,2,6,33%,0,0,319,92,182,50%,56,137,25,32,11,13,58,140,18,23,16,19
fb9095887dca34c7,"September 09, 1994","Charlotte, North Carolina, USA",Welterweight Bout, KO/TKO ,2,4:21,3 Rnd (5-5-5),Punches to Head At Distance,Phil Rowe,8e382b585a92affe,W,1,1,46,93,49%,53,101,0,0,None,0,0,12,46,93,49%,32,76,13,16,1,1,33,78,13,15,0,0,Orion Cosce,2c010b26a3306969,L,0,0,22,52,42%,51,82,2,6,33%,0,0,394,22,52,42%,17,45,3,4,2,3,16,44,3,5,3,3
af9927b5589e708b,"September 09, 1994","Charlotte, North Carolina, USA",Bantamweight Bout, Submission ,2,2:35,3 Rnd (5-5-5),Rear Naked Choke,Johnny Munoz,f6bcbd91b114ff58,W,1,0,14,71,19%,24,85,2,3,66%,3,0,124,14,71,19%,6,61,2,2,6,8,13,68,0,1,1,2,Jamey Simmons,f0fad0e9f3b65752,L,0,0,7,37,18%,10,40,0,0,None,0,0,00,7,37,18%,4,31,1,3,2,3,7,37,0,0,0,0
47a157222b2c9092,"September 09, 1994","Charlotte, North Carolina, USA",Welterweight Bout, Submission ,1,2:33,3 Rnd (5-5-5),Rear Naked Choke,Sasha Palatnikov,a6c20202c701e5ca,L,0,0,1,1,100%,1,3,0,0,None,0,0,00,1,1,100%,1,1,0,0,0,0,1,1,0,0,0,0,Ramiz Brahimaj,3d074044a33825e7,W,1,0,1,2,50%,3,5,2,2,100%,1,0,132,1,2,50%,1,2,0,0,0,0,1,2,0,0,0,0
be4890f4aaadec28,"September 09, 1994","Charlotte, North Carolina, USA",Bantamweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),None,Mana Martinez,c0386644627a7ee5,W,1,0,79,157,50%,88,169,2,3,66%,0,0,67,79,157,50%,35,98,31,44,13,15,72,147,3,4,4,6,Guido Cannetti,d05412b513b19621,L,0,0,66,109,60%,68,111,0,0,None,0,1,28,66,109,60%,21,57,13,19,32,33,64,105,0,1,2,3
a7c38d4d66abf923,"September 09, 1994","Charlotte, North Carolina, USA",Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Dalcha Lungiambula,ce632027bf2a871b,L,0,0,85,217,39%,87,219,2,5,40%,0,0,32,85,217,39%,60,185,21,26,4,6,64,185,21,32,0,0,Marc-Andre Barriault,8e9eb3fc86db0f7d,W,1,0,118,289,40%,128,299,0,0,None,0,0,31,118,289,40%,80,233,24,40,14,16,93,250,25,39,0,0
