eventNameUpcoming,dateUpcomingDetails,locationUpcomingDetails,f1Name,f2Name,weightClass
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023","Perth, Western Australia, Australia",Islam Makhachev,Alexander Volkanovski,Lightweight
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023","Perth, Western Australia, Australia",Yair Rodriguez,Josh Emmett,Featherweight
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023","Perth, Western Australia, Australia",Robert Whittaker,Paulo Costa,Middleweight
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023","Perth, Western Australia, Australia",Tyson Pedro,Zhang Mingyang,Light Heavyweight
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023","Perth, Western Australia, Australia",Justin Tafa,Parker Porter,Heavyweight
UFC 283,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil",Deiveson Figueiredo,Brandon Moreno,Flyweight
UFC 283,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil",Mauricio Rua,Ihor Potieria,Light Heavyweight
UFC 283,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil",Lauren Murphy,Jessica Andrade,Women's Flyweight
UFC Fight Night: Gastelum vs. Imavov,"January 14, 2023",None,Kelvin Gastelum,Nassourdine Imavov,Middleweight
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022","Las Vegas, Nevada, USA",Jared Cannonier,Sean Strickland,Middleweight
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022","Las Vegas, Nevada, USA",Arman Tsarukyan,Damir Ismagulov,Lightweight
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022","Las Vegas, Nevada, USA",Brandon Royval,Amir Albazi,Flyweight
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022","Las Vegas, Nevada, USA",Jan Blachowicz,Magomed Ankalaev,Light Heavyweight
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022","Las Vegas, Nevada, USA",Paddy Pimblett,Jared Gordon,Lightweight
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022","Las Vegas, Nevada, USA",Robbie Lawler,Santiago Ponzinibbio,Welterweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Stephen Thompson,Kevin Holland,Welterweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Bryan Barberena,Rafael Dos Anjos,Welterweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Matheus Nicolau,Matt Schnell,Flyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Josh Culibao,Melsik Baghdasaryan,Featherweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Jack Jenkins,Don Shainis,Featherweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Jimmy Crute,Alonzo Menifield,Light Heavyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Gabriel Bonfim,Mounir Lazzez,Welterweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Paul Craig,Johnny Walker,Light Heavyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Shamil Abdurakhimov,Jailton Almeida,Heavyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Alex Caceres,Julian Erosa,Featherweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Albert Duraev,Michal Oleksiejczuk,Middleweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Cheyanne Vlismas,Cory McKenna,Women's Strawweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Darren Till,Dricus Du Plessis,Middleweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Bryce Mitchell,Ilia Topuria,Featherweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Jairzinho Rozenstruik,Chris Daukaus,Heavyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Tai Tuivasa,Sergei Pavlovich,Heavyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Eryk Anders,Kyle Daukaus,Middleweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Niko Price,Phil Rowe,Welterweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Shannon Ross,Kleydson Rodrigues,Flyweight
UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA",Josiane Nunes,Zarah Fairn,Women's Featherweight
